"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,102001,"United States",0,226800,-0.000881057268722467,0.00442869796279894,0.0613008890968648,0.0637651602275009,0.0291860089647606,"2019-03","2019-Q1",227000,-0.000881057268722467,"2019-03"
2019-04-30,9,"California",1,548000,-0.00200327809142233,-0.00399854598327881,0.0216256524981357,0.0635017755812721,0.0462437125848456,"2019-01","2019-Q1",550200,-0.00399854598327881,"2018-10"
2019-04-30,54,"Texas",2,196700,-0.00152284263959391,0.0076844262295082,0.0696030451332246,0.0775492751883093,0.0409307987352527,"2019-03","2019-Q1",197000,-0.00152284263959391,"2019-03"
2019-04-30,43,"New York",3,298100,0.0037037037037037,0.0205409106470387,0.0604766986837424,0.0438771208809741,0.0116868516770166,"2007-05","2007-Q2",305200,-0.0232634338138925,"2006-04"
2019-04-30,14,"Florida",4,233300,-0.00256519880290723,0.000858000858000858,0.0551786521935776,0.0935261755505681,0.0390866412128692,"2006-08","2006-Q3",258900,-0.0988798764001545,"2005-11"
2019-04-30,21,"Illinois",5,180900,-0.00110436223081171,0.00444197667962243,0.0384615384615385,0.0466831071167213,0.00366599146133462,"2007-04","2007-Q2",203900,-0.112800392349191,"2005-01"
2019-04-30,47,"Pennsylvania",6,173200,-0.00345224395857307,-0.00230414746543779,0.0383693045563549,0.0393550631904827,0.0134092607269605,"2019-02","2019-Q1",174000,-0.00459770114942529,"2019-01"
2019-04-30,44,"Ohio",7,139100,-0.00215208034433285,0,0.061022120518688,0.0534804217234655,0.0215416585096064,"2019-03","2019-Q1",139400,-0.00215208034433285,"2019-01"
2019-04-30,30,"Michigan",8,151700,0,0.006635700066357,0.0797153024911032,0.0851880675762431,0.0412082810835575,"2019-04","2019-Q2",151700,0,"2019-04"
2019-04-30,16,"Georgia",9,188300,-0.00106100795755968,0.00641368252271513,0.0947674418604651,0.0804283095295657,0.0269003755356794,"2019-03","2019-Q1",188500,-0.00106100795755968,"2019-03"
2019-04-30,36,"North Carolina",10,184200,0,0.0071077091306725,0.0778232884727911,0.0567116389165956,0.0219841073228977,"2019-04","2019-Q2",184200,0,"2019-04"
2019-04-30,40,"New Jersey",11,327700,-0.000914634146341464,0.00583179864947821,0.0409783989834816,0.0407317069276809,0.00447179132939679,"2006-08","2006-Q3",375900,-0.128225591912743,"2005-04"
2019-04-30,56,"Virginia",12,258600,-0.000386548125241593,0.00154918667699458,0.0356427713255907,0.0331412282444936,0.0130739278474705,"2007-04","2007-Q2",265600,-0.026355421686747,"2005-11"
2019-04-30,59,"Washington",13,385800,-0.00335830534745544,0.00207792207792208,0.0555403556771546,0.0923129734196257,0.0376094555967037,"2019-03","2019-Q1",387100,-0.00335830534745544,"2019-02"
2019-04-30,26,"Massachusetts",14,407700,-0.004152418172936,-0.000245218244237371,0.0392556716798369,0.0562525952670192,0.0325352808149826,"2019-03","2019-Q1",409400,-0.004152418172936,"2019-01"
2019-04-30,22,"Indiana",15,144500,0.000692520775623269,0.0111966410076977,0.0971905846621109,0.065744318790427,0.0259887632424027,"2019-04","2019-Q2",144500,0,"2019-04"
2019-04-30,8,"Arizona",16,252900,-0.000395256916996047,0.00636689216076403,0.065290648694187,0.0727678890999508,0.0384006110583024,"2006-06","2006-Q2",269400,-0.0612472160356347,"2005-11"
2019-04-30,53,"Tennessee",17,166900,-0.00119688809096349,0.00663449939686369,0.0685019206145967,0.0718027472003511,0.0335405229330457,"2019-03","2019-Q1",167100,-0.00119688809096349,"2019-03"
2019-04-30,32,"Missouri",18,161500,-0.00123685837971552,0.0031055900621118,0.0702451954937044,0.0519013150122396,0.0192227902256923,"2019-03","2019-Q1",161700,-0.00123685837971552,"2019-02"
2019-04-30,27,"Maryland",19,290000,-0.00343642611683849,0.00034494653328734,0.0276399716513111,0.0355708246554964,0.00825970497232742,"2006-12","2006-Q4",334800,-0.133811230585424,"2005-06"
2019-04-30,60,"Wisconsin",20,187100,0.00053475935828877,0.00537345513164965,0.0642775881683731,0.0501400759775454,0.0199250469937104,"2019-04","2019-Q2",187100,0,"2019-04"
2019-04-30,31,"Minnesota",21,235700,-0.000424088210347752,0.00383304940374787,0.0536432722396066,0.0641759725271407,0.0312313372821502,"2019-03","2019-Q1",235800,-0.000424088210347752,"2019-03"
2019-04-30,10,"Colorado",22,379300,-0.00157936299026059,0.00397035468501853,0.0501107419712071,0.0947655127929394,0.0565102336705512,"2019-03","2019-Q1",379900,-0.00157936299026059,"2019-02"
2019-04-30,4,"Alabama",23,130600,-0.00152905198776758,0,0.0422984836392658,0.0353046565449715,0.0202263759535599,"2019-03","2019-Q1",130800,-0.00152905198776758,"2019-01"
2019-04-30,51,"South Carolina",24,166300,-0.000600961538461538,0.00483383685800604,0.0585614258434118,0.0569037346815831,0.0212979621779792,"2019-03","2019-Q1",166400,-0.000600961538461538,"2019-03"
2019-04-30,25,"Louisiana",25,145900,-0.00477489768076398,-0.00883152173913043,0.0117891816920943,0.0354114525395557,0.015013927417548,"2018-11","2018-Q4",147700,-0.012186865267434,"2018-08"
2019-04-30,24,"Kentucky",26,144800,-0.000690131124913734,0.00277008310249307,0.0546249089584851,0.0501010711044179,0.0242037722475934,"2019-03","2019-Q1",144900,-0.000690131124913734,"2019-02"
2019-04-30,46,"Oregon",27,346000,-0.00288184438040346,0.00115740740740741,0.0459492140266022,0.0876654483684041,0.040690016527154,"2019-03","2019-Q1",347000,-0.00288184438040346,"2019-03"
2019-04-30,45,"Oklahoma",28,123500,-0.00161681487469685,0.00243506493506494,0.036943744752309,0.0545408207365914,0.0257231203364596,"2019-03","2019-Q1",123700,-0.00161681487469685,"2019-02"
2019-04-30,11,"Connecticut",29,243700,-0.00204750204750205,0.00288065843621399,0.0205192629815745,0.0190108247950318,-0.0022693241715489,"2006-06","2006-Q2",290100,-0.159944846604619,"2004-05"
2019-04-30,19,"Iowa",30,142800,-0.000699790062981106,0.00280898876404494,0.0377906976744186,0.0408370407216625,0.025419128972898,"2019-03","2019-Q1",142900,-0.000699790062981106,"2019-02"
2019-04-30,34,"Mississippi",31,128400,-0.0015552099533437,0.00784929356357928,0.0780856423173804,0.0581273336860482,0.0151267555682022,"2019-03","2019-Q1",128600,-0.0015552099533437,"2019-03"
2019-04-30,6,"Arkansas",32,126800,0.000789265982636148,0.00794912559618442,0.0505385252692626,0.0496855882512865,0.0243359372158385,"2019-04","2019-Q2",126800,0,"2019-04"
2019-04-30,23,"Kansas",33,140800,0.000710732054015636,0.00643316654753395,0.0634441087613293,0.0470188815513275,0.0192130305623288,"2019-04","2019-Q2",140800,0,"2019-04"
2019-04-30,55,"Utah",34,341600,0.00234741784037559,0.0151560178306092,0.127392739273927,0.0903111007586801,0.039001546778926,"2019-04","2019-Q2",341600,0,"2019-04"
2019-04-30,42,"Nevada",35,293500,-0.00237933378653977,0.00273317389818927,0.0922962411611463,0.100290450036603,0.0494674315390631,"2006-06","2006-Q2",319100,-0.0802256345973049,"2005-03"
2019-04-30,41,"New Mexico",36,195700,-0.00153061224489796,0.00824317362184441,0.0717415115005476,0.046523396614792,0.00912886141473712,"2019-03","2019-Q1",196000,-0.00153061224489796,"2019-03"
2019-04-30,61,"West Virginia",37,96300,-0.0082389289392379,-0.0163432073544433,0.0201271186440678,0.0306689438504053,0.0167018477364225,"2019-01","2019-Q1",97900,-0.0163432073544433,"2018-10"
2019-04-30,38,"Nebraska",38,164900,-0.00121138703815869,0.0048750761730652,0.0652454780361757,0.0579863269364671,0.0337692057052179,"2019-03","2019-Q1",165100,-0.00121138703815869,"2019-02"
2019-04-30,20,"Idaho",39,265400,0.00568397120121258,0.0258987243911867,0.169162995594714,0.0968138581374882,0.0421084458944307,"2019-04","2019-Q2",265400,0,"2019-04"
2019-04-30,18,"Hawaii",40,616000,-0.00307493121864379,-0.00661183680051605,0.0185185185185185,0.0534945569305272,0.0331214016407095,"2019-01","2019-Q1",620100,-0.00661183680051605,"2018-08"
2019-04-30,28,"Maine",41,232600,-0.0012881064834693,0.00301854247520483,0.0572727272727273,0.052492959857499,0.0295110511104473,"2019-03","2019-Q1",232900,-0.0012881064834693,"2019-03"
2019-04-30,39,"New Hampshire",42,276400,-0.00144508670520231,0.00290275761973875,0.0594097355308547,0.0558833323365588,0.0233640148352441,"2019-03","2019-Q1",276800,-0.00144508670520231,"2019-02"
2019-04-30,50,"Rhode Island",43,280600,-0.00355113636363636,0.000713266761768902,0.0327567169672433,0.053431327396446,0.0191573775426637,"2005-10","2005-Q4",297000,-0.0552188552188552,"2004-12"
2019-04-30,35,"Montana",44,237500,-0.00335711288292069,0.000842815002107038,0.0602678571428571,0.0470763315235647,0.0268043373809199,"2019-03","2019-Q1",238300,-0.00335711288292069,"2019-02"
2019-04-30,13,"Delaware",45,237300,-0.00252206809583859,0.00253485424588086,0.00935772011909826,0.0397264660147438,0.00609942666773255,"2018-01","2018-Q1",240100,-0.0116618075801749,"2017-12"
2019-04-30,52,"South Dakota",46,188600,-0.00105932203389831,0.00319148936170213,0.0448753462603878,0.0516749841464403,0.0293680852628035,"2019-03","2019-Q1",188800,-0.00105932203389831,"2019-03"
2019-04-30,3,"Alaska",47,309500,0.00748697916666667,0.00454397922752353,0.0091294424519074,0.0155637847006924,0.0117417500310655,"2018-11","2018-Q4",312200,-0.00864830237027546,"2018-08"
2019-04-30,37,"North Dakota",48,206600,0.000968992248062016,0.00486381322957198,0.0162321692080669,0.0389134271240437,0.0438565082032547,"2019-04","2019-Q2",206600,0,"2019-04"
2019-04-30,58,"Vermont",49,201700,-0.00197921820880752,-0.0068931560807484,0.0348896870189841,0.0195382193485987,0.0100533257116886,"2019-01","2019-Q1",203100,-0.0068931560807484,"2018-11"
2019-04-30,12,"District of Columbia",50,574100,-0.0082915874935222,-0.0130651538593777,0.0197158081705151,0.0546945867274893,0.0476016709118274,"2018-12","2018-Q4",582100,-0.0137433430682013,"2018-10"
2019-04-30,62,"Wyoming",51,227100,0.00220653133274492,0.00442282176028306,0.0484764542936288,0.0347967121235881,0.0219369314927278,"2019-04","2019-Q2",227100,0,"2019-04"
