"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777453838678329,0.797660196756182,0.797660196756182,0.825748806361605,0.841623946068766,0.821880153930731,0.796181091755574,0.794547255059726,0.809364482023767,0.846755637367694,0.80091533180778,0.861803631886734,0.846755637367694,0.784210526315789,0.822490194583513,0.815494393476045,0.833635375135919,0.837496326770497,0.815553779901436,0.814432989690722,0.786922245667184,0.781738586616635,0.797031249172847,0.799360511590727,0.783684093919728,0.808621832306536,0.821880153930731,0.815956482320943
"06511","New Haven","CT","New Haven-Milford","New Haven County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369049998959351,0.425123422929237,0.425925925925926,0.436250377504545,0.396243029057822,0.396243029057822,0.38109287361558,0.389254385964912,0.409962916473818,0.404970813738586,0.404970813738586,0.404536222071767,0.444312796208531,0.499803998431987,0.48835973184403,0.480030721966206,0.479105669417088,0.430650430650431,0.429000429000429,0.394987889090529,0.389722698684963,0.399715612683091,0.386422194053294,0.372286650848061,0.378902697787208,0.433196534427725,0.432075473285513
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29534903331582,1.24804992199688,1.26375137513751,1.28040973111396,1.28247812363405,1.30431543847708,1.37182052014861,1.33311917764215,1.33311917764215,1.31028833551769,1.3156853532481,1.34091755229134,1.31028833551769,1.27355717379101,1.24528301886792,1.37032085561497,1.32194761461974,1.30183259762831,1.30122156381037,1.2920667159035,1.27668659265585,1.33966862914619,1.33966862914619,1.31028833551769,1.31049736864185
"92880","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",4,0.682539682539683,0.692447600900745,0.698324022346369,0.713795241317231,0.695704779189353,0.711958475463137,0.708174472647135,0.724462690171456,0.707418851499784,0.700348762615539,0.702007375403561,0.709639266706091,0.691918223543087,0.689655172413793,0.692602416740348,0.683229813664596,0.678794461037198,0.699810861929208,0.714285714285714,0.699323296836983,0.702427059082802,0.689845474613687,0.696128881587424,0.688044286724175,0.69479116510488,0.69593147751606,0.693742153073533,0.692307692307692,0.701480904130943,0.69962100041917,0.714285714285714,0.719034424544921,0.723310503577782,0.712235030004749,0.709639126305793,0.709876543209877,0.737551412493533,0.723091233479806,0.729251700680272,0.726561396484421,0.751325336868617,0.71078431372549,0.751325336868617,0.741399762752076,0.725733293014817,0.722661576220344,0.72108843537415,0.741978910568596,0.753483082172306,0.753483082172306,0.746855957348349,0.742472283620926,0.729108244531688,0.793230893220873,0.759526938239159,0.766145640768513,0.794199538218213,0.744313446710373,0.766156557331909,0.771055753262159,0.761296660117878,0.784938627291493,0.795853913638723,0.81371489060519,0.811525514125523,0.798860398860399,0.790350993502926,0.788866930171278,0.816449954641669,0.789286674272952,0.779478458049887,0.793136937520233,0.810443296165352,0.813053132426935,0.812607732085693,0.81401766004415,0.834442106361247,0.818452380952381,0.836418895597652,0.847025747789107,0.840336134453782,0.819087839102665,0.813344361731459,0.829152311240641,0.827586206896552,0.836489898989899,0.823810789263885
"02130","Boston","MA","Boston-Cambridge-Newton","Suffolk County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906344410876133,0.946686596910812,0.989583333333333,0.912467700258398,0.899424770268001,0.917731891183219,0.895011073905344,0.869432580841977,0.849443468072642,0.855470557223244,0.878883717229582,0.989587388577586,0.937527465766668,0.955540667938506,1.02185637240988,1.02777777777778,0.943767812444462,0.947383943517682,0.942713251495121,0.928655660377358,0.881791614480825,0.838364779874214,0.838064341713977,0.838064341713977,0.92666137145883,0.92666137145883,1.00921854785195,1.07232489162674
"11937","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,16.1311264271791,15,15,14.03125,13.3985181437629,13.3824021411843,13.879179331307,14,13.0279034690799,14.9074074074074,15,14.2857142857143,13.3333333333333,13.4066085994746,13.2456140350877,11.9375,12.5,12.3887354205034,11.5384615384615,11.25,11.6666666666667,12.5,12.5,13.4066085994746,12.5833333333333,12.7217490062465
"47408","Bloomington","IN","Bloomington","Monroe County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89125295508274,1.69986461573914,1.85,1.86170212765957,1.88707729468599,1.78125,1.61579987281407,1.70454545454545,1.63309744148067,1.7724818112307,1.7724818112307,1.88707729468599,1.82893152927581,1.84492855308533,1.86011904761905,1.79407176287051,1.80007770653031,1.92604006163328,1.90331176246669,1.80007770653031
"02144","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08794197642792,1.00107087469711,1.04873534855028,1.01719853097169,1.01779252110977,1.17874156129884,1.30357827022364,1.2081603909476,1.12817662399891,1.06719367588933,1.00644122383253,0.989756027168584,0.966183574879227,1.06414425066509,1.0886967659302,1.1010165184244,1.09090909090909,1.20344075293319,1.31181696893132,1.32431959329266,1.27372137774393,1.30727264823509,1.20738011775815,1.09127198917456,1.05170902716915,1.10862942833425,1.14018775597342,0.997207818109294,1.16720671842613,1.32669983416252,1.42148009748264
"02134","Boston","MA","Boston-Cambridge-Newton","Suffolk County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,2.17647058823529,2.17391304347826,2.05,2,1.78826323716835,2,2.1,2.22222222222222,2.25,2.275,2.275,2.25
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3930373618522,4.5303920065093,4.86842105263158,4.94688490047927,5.14775144837734,5.43657405406775,5.13388937664618,5.11152416356877,5.39160045402951,5.51501781774987,5.32051224914543,5.55637872277374,5.55637872277374,5.77190957190957,5.720152537401,5.44077134986226,5.70218312153796,5.7111433938386,5.75053918044572,5.92801655039066,5.77190957190957,5.46262386425956,5.49882168106834,5.41666666666667,5.41666666666667,5.35245862931964,5.20099980443923,5.39259175007583
"11968","Southampton","NY","New York-Newark-Jersey City","Suffolk County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7980769230769,13.0952380952381,13.3630952380952,15.4211956521739,15.2173913043478,16.6666666666667,16.7225950782998,17.6470588235294,16.7785234899329,16.6666666666667,15.8406879384476,15.4071900220103,15.4320987654321,15,15.5172413793103,15,15.5172413793103,15.615763546798,16.5876777251185,19.0114755579651,17.6041666666667,16.6666666666667,16.6666666666667,16.6389811738649,15.7142857142857,14.8327939590076,15.8629441624365,15.8679800177262,14.2064372918979,14.6555741983594,14.4832189168574,13.9612807148176,14.1606591143151,14.9218565931045,13.1446039340776,12.7973469081381,13.1665569453588,13,13.9451406348209,13.8277812696417,13.7362637362637,13.7362637362637,13.9054627419783,13.5790258344572,13.8568868407578,14.1551818430407
"11963","Sag Harbor","NY","New York-Newark-Jersey City","Suffolk County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6666666666667,19.0909090909091,18.5416666666667,16.6666666666667,14.8404920767306,13.75,13.1764577278222,13.9402173913043,14.0588235294118,14.6551724137931,14,13.1176213379974,13.0805497994335,14.4704433497537,12.8624567092405,13.2053375798399,12.8571428571429,12.8960943257185,12.8571428571429,12.8498043052838,13,14.2857142857143,13,12.8498043052838,13.1176213379974,12.8697952610996,13.1176213379974,13.8886666666667
"81611","Aspen","CO","Glenwood Springs","Pitkin County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2792530409457,10.3914097679252,10.3353314044354,9.90853658536585,9.8474341710062,9.90853658536585,9.86132290531426,9.86132290531426,10.132252559727,10.2057528003363,9.86132290531426,9.86132290531426
"11976","Water Mill","NY","New York-Newark-Jersey City","Suffolk County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3152640618291,16.7950019743894,16.1458333333333,14.8799360876512,14.3575017946877,15.4761904761905,17.2380952380952,16.0214552238806,16.4179104477612,17.1206896551724,17.2873563218391,16.015389547932,16.6666666666667,15.4761904761905,14.8868598650258,15,14.3650793650794,12.7620783956244,14.2857142857143,13.3333333333333,14,14.7689889909452,14.6570256009381,14.4230769230769,15.0665859564165
"11959","Quogue","NY","New York-Newark-Jersey City","Suffolk County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2004538577912,11,9.48898298837016,10,11.7222222222222,13.7252284786107,13.9094955489614,13.9094955489614,11.9956822107081,11.1818181818182,11.5108337258596,9.5484375
"11932","Bridgehampton","NY","New York-Newark-Jersey City","Suffolk County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.046398046398,19.8863636363636,19.2222222222222,16.7543859649123,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.4705882352941,14.781512605042,15.4545454545455,15.625,15.625,15.625,16.260162601626,15.7894736842105,15.7894736842105,13.734756097561,14.2225869993434,15.2093453620171,13.8888888888889,14.2261904761905,15.4705364700192,15.6663890045814,15.8571428571429,15,14.4185377086931,14.8571428571429,15.1281538461538
"11964","Shelter Island","NY","New York-Newark-Jersey City","Suffolk County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14283226677115,9,7.66675185279836,8.06414515716841,8.07785809957405,9.11078717201166,8.975,7.45773159650227,7.31960488866566,7.75814612426634,7.5,7.5,7.24217844727694,8.51063829787234
"11962","Sagaponack","NY","New York-Newark-Jersey City","Suffolk County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0598290598291,16.963036963037,18.3766233766234,17.7777777777778,16.6666666666667,16.6666666666667,15.1103500761035,16.6666666666667,16.25,16.6666666666667,16.6666666666667,16.6666666666667,16.4583333333333,16.9821428571429,17.4618979882138,17,16.7832167832168,16.7832167832168,17.1428571428571,16.7832167832168,15.8125,16.6666666666667,16.6666666666667,17.1428571428571,17.6470588235294,16.7249417249417,16.6666666666667,18.5183333333333
